id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,agama,jumlah_penduduk,satuan,tahun
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ISLAM,3395934,JIWA,2013
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KRISTEN,55276,JIWA,2013
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KATHOLIK,20601,JIWA,2013
25,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HINDU,892,JIWA,2013
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUDHA,3337,JIWA,2013
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KONGHUCHU,75,JIWA,2013
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEPERCAYAAN LAIN,305,JIWA,2013
29,32,JAWA BARAT,3205,KABUPATEN GARUT,ISLAM,2171751,JIWA,2013
30,32,JAWA BARAT,3205,KABUPATEN GARUT,KRISTEN,3856,JIWA,2013
31,32,JAWA BARAT,3205,KABUPATEN GARUT,KATHOLIK,984,JIWA,2013
32,32,JAWA BARAT,3205,KABUPATEN GARUT,HINDU,65,JIWA,2013
33,32,JAWA BARAT,3205,KABUPATEN GARUT,BUDHA,456,JIWA,2013
34,32,JAWA BARAT,3205,KABUPATEN GARUT,KONGHUCHU,4,JIWA,2013
35,32,JAWA BARAT,3205,KABUPATEN GARUT,KEPERCAYAAN LAIN,231,JIWA,2013
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ISLAM,1636255,JIWA,2013
37,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KRISTEN,722,JIWA,2013
38,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KATHOLIK,336,JIWA,2013
39,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HINDU,38,JIWA,2013
40,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUDHA,15,JIWA,2013
41,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KONGHUCHU,3,JIWA,2013
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEPERCAYAAN LAIN,144,JIWA,2013
43,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ISLAM,1594076,JIWA,2013
44,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KRISTEN,1566,JIWA,2013
45,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KATHOLIK,543,JIWA,2013
46,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HINDU,14,JIWA,2013
47,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUDHA,106,JIWA,2013
48,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KONGHUCHU,123,JIWA,2013
49,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEPERCAYAAN LAIN,132,JIWA,2013
50,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ISLAM,1101757,JIWA,2013
51,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KRISTEN,2305,JIWA,2013
52,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KATHOLIK,5940,JIWA,2013
53,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HINDU,22,JIWA,2013
54,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUDHA,208,JIWA,2013
55,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KONGHUCHU,33,JIWA,2013
56,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEPERCAYAAN LAIN,359,JIWA,2013
57,32,JAWA BARAT,3209,KABUPATEN CIREBON,ISLAM,2037653,JIWA,2013
58,32,JAWA BARAT,3209,KABUPATEN CIREBON,KRISTEN,7975,JIWA,2013
59,32,JAWA BARAT,3209,KABUPATEN CIREBON,KATHOLIK,3257,JIWA,2013
60,32,JAWA BARAT,3209,KABUPATEN CIREBON,HINDU,137,JIWA,2013
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,BUDHA,659,JIWA,2013
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,KONGHUCHU,444,JIWA,2013
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEPERCAYAAN LAIN,110,JIWA,2013
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ISLAM,1232203,JIWA,2013
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KRISTEN,3415,JIWA,2013
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KATHOLIK,511,JIWA,2013
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HINDU,50,JIWA,2013
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUDHA,164,JIWA,2013
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KONGHUCHU,12,JIWA,2013
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KEPERCAYAAN LAIN,32,JIWA,2013
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ISLAM,1092762,JIWA,2013
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KRISTEN,4243,JIWA,2013
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KATHOLIK,643,JIWA,2013
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HINDU,128,JIWA,2013
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUDHA,348,JIWA,2013
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONGHUCHU,289,JIWA,2013
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KEPERCAYAAN LAIN,12,JIWA,2013
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ISLAM,1816426,JIWA,2013
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KRISTEN,5293,JIWA,2013
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KATHOLIK,1567,JIWA,2013
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HINDU,115,JIWA,2013
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUDHA,262,JIWA,2013
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONGHUCHU,10,JIWA,2013
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KEPERCAYAAN LAIN,170,JIWA,2013
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,ISLAM,1527710,JIWA,2013
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,KRISTEN,5361,JIWA,2013
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,KATHOLIK,1974,JIWA,2013
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,HINDU,50,JIWA,2013
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUDHA,386,JIWA,2013
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,KONGHUCHU,4,JIWA,2013
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,KEPERCAYAAN LAIN,31,JIWA,2013
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ISLAM,835080,JIWA,2013
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KRISTEN,6807,JIWA,2013
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KATHOLIK,1933,JIWA,2013
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HINDU,153,JIWA,2013
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BUDHA,518,JIWA,2013
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KONGHUCHU,10,JIWA,2013
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KEPERCAYAAN LAIN,1,JIWA,2013
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ISLAM,1854170,JIWA,2013
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KRISTEN,23369,JIWA,2013
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KATHOLIK,5497,JIWA,2013
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HINDU,555,JIWA,2013
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BUDHA,5661,JIWA,2013
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KONGHUCHU,187,JIWA,2013
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KEPERCAYAAN LAIN,229,JIWA,2013
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,ISLAM,2365568,JIWA,2013
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,KRISTEN,77726,JIWA,2013
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,KATHOLIK,21939,JIWA,2013
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,HINDU,1587,JIWA,2013
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,BUDHA,12423,JIWA,2013
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,KONGHUCHU,138,JIWA,2013
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,KEPERCAYAAN LAIN,1985,JIWA,2013
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ISLAM,1517370,JIWA,2013
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KRISTEN,19069,JIWA,2013
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KATHOLIK,6108,JIWA,2013
116,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HINDU,469,JIWA,2013
117,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BUDHA,512,JIWA,2013
118,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KONGHUCHU,77,JIWA,2013
119,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KEPERCAYAAN LAIN,739,JIWA,2013
120,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ISLAM,0,JIWA,2013
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KRISTEN,0,JIWA,2013
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KATHOLIK,0,JIWA,2013
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HINDU,0,JIWA,2013
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BUDHA,0,JIWA,2013
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KONGHUCHU,0,JIWA,2013
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KEPERCAYAAN LAIN,0,JIWA,2013
127,32,JAWA BARAT,3271,KOTA BOGOR,ISLAM,901020,JIWA,2013
128,32,JAWA BARAT,3271,KOTA BOGOR,KRISTEN,42355,JIWA,2013
129,32,JAWA BARAT,3271,KOTA BOGOR,KATHOLIK,23796,JIWA,2013
130,32,JAWA BARAT,3271,KOTA BOGOR,HINDU,1446,JIWA,2013
131,32,JAWA BARAT,3271,KOTA BOGOR,BUDHA,8858,JIWA,2013
132,32,JAWA BARAT,3271,KOTA BOGOR,KONGHUCHU,335,JIWA,2013
133,32,JAWA BARAT,3271,KOTA BOGOR,KEPERCAYAAN LAIN,236,JIWA,2013
134,32,JAWA BARAT,3272,KOTA SUKABUMI,ISLAM,305835,JIWA,2013
135,32,JAWA BARAT,3272,KOTA SUKABUMI,KRISTEN,6955,JIWA,2013
136,32,JAWA BARAT,3272,KOTA SUKABUMI,KATHOLIK,3472,JIWA,2013
137,32,JAWA BARAT,3272,KOTA SUKABUMI,HINDU,63,JIWA,2013
138,32,JAWA BARAT,3272,KOTA SUKABUMI,BUDHA,3230,JIWA,2013
139,32,JAWA BARAT,3272,KOTA SUKABUMI,KONGHUCHU,6,JIWA,2013
140,32,JAWA BARAT,3272,KOTA SUKABUMI,KEPERCAYAAN LAIN,11,JIWA,2013
141,32,JAWA BARAT,3273,KOTA BANDUNG,ISLAM,2140645,JIWA,2013
142,32,JAWA BARAT,3273,KOTA BANDUNG,KRISTEN,125554,JIWA,2013
143,32,JAWA BARAT,3273,KOTA BANDUNG,KATHOLIK,52246,JIWA,2013
144,32,JAWA BARAT,3273,KOTA BANDUNG,HINDU,1868,JIWA,2013
145,32,JAWA BARAT,3273,KOTA BANDUNG,BUDHA,11846,JIWA,2013
146,32,JAWA BARAT,3273,KOTA BANDUNG,KONGHUCHU,166,JIWA,2013
147,32,JAWA BARAT,3273,KOTA BANDUNG,KEPERCAYAAN LAIN,128,JIWA,2013
148,32,JAWA BARAT,3274,KOTA CIREBON,ISLAM,290088,JIWA,2013
149,32,JAWA BARAT,3274,KOTA CIREBON,KRISTEN,15462,JIWA,2013
150,32,JAWA BARAT,3274,KOTA CIREBON,KATHOLIK,7387,JIWA,2013
151,32,JAWA BARAT,3274,KOTA CIREBON,HINDU,176,JIWA,2013
152,32,JAWA BARAT,3274,KOTA CIREBON,BUDHA,2695,JIWA,2013
153,32,JAWA BARAT,3274,KOTA CIREBON,KONGHUCHU,49,JIWA,2013
154,32,JAWA BARAT,3274,KOTA CIREBON,KEPERCAYAAN LAIN,18,JIWA,2013
155,32,JAWA BARAT,3275,KOTA BEKASI,ISLAM,2043419,JIWA,2013
156,32,JAWA BARAT,3275,KOTA BEKASI,KRISTEN,220146,JIWA,2013
157,32,JAWA BARAT,3275,KOTA BEKASI,KATHOLIK,75400,JIWA,2013
158,32,JAWA BARAT,3275,KOTA BEKASI,HINDU,5608,JIWA,2013
159,32,JAWA BARAT,3275,KOTA BEKASI,BUDHA,23253,JIWA,2013
160,32,JAWA BARAT,3275,KOTA BEKASI,KONGHUCHU,89,JIWA,2013
161,32,JAWA BARAT,3275,KOTA BEKASI,KEPERCAYAAN LAIN,2780,JIWA,2013
162,32,JAWA BARAT,3276,KOTA DEPOK,ISLAM,1513736,JIWA,2013
163,32,JAWA BARAT,3276,KOTA DEPOK,KRISTEN,79327,JIWA,2013
164,32,JAWA BARAT,3276,KOTA DEPOK,KATHOLIK,27073,JIWA,2013
165,32,JAWA BARAT,3276,KOTA DEPOK,HINDU,3042,JIWA,2013
166,32,JAWA BARAT,3276,KOTA DEPOK,BUDHA,4773,JIWA,2013
167,32,JAWA BARAT,3276,KOTA DEPOK,KONGHUCHU,2055,JIWA,2013
168,32,JAWA BARAT,3276,KOTA DEPOK,KEPERCAYAAN LAIN,41,JIWA,2013
169,32,JAWA BARAT,3277,KOTA CIMAHI,ISLAM,480065,JIWA,2013
170,32,JAWA BARAT,3277,KOTA CIMAHI,KRISTEN,21973,JIWA,2013
171,32,JAWA BARAT,3277,KOTA CIMAHI,KATHOLIK,8139,JIWA,2013
172,32,JAWA BARAT,3277,KOTA CIMAHI,HINDU,670,JIWA,2013
173,32,JAWA BARAT,3277,KOTA CIMAHI,BUDHA,877,JIWA,2013
174,32,JAWA BARAT,3277,KOTA CIMAHI,KONGHUCHU,17,JIWA,2013
175,32,JAWA BARAT,3277,KOTA CIMAHI,KEPERCAYAAN LAIN,179,JIWA,2013
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ISLAM,665816,JIWA,2013
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KRISTEN,7983,JIWA,2013
178,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KATHOLIK,1967,JIWA,2013
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HINDU,27,JIWA,2013
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BUDHA,934,JIWA,2013
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KONGHUCHU,129,JIWA,2013
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KEPERCAYAAN LAIN,23,JIWA,2013
183,32,JAWA BARAT,3279,KOTA BANJAR,ISLAM,185378,JIWA,2013
184,32,JAWA BARAT,3279,KOTA BANJAR,KRISTEN,1375,JIWA,2013
185,32,JAWA BARAT,3279,KOTA BANJAR,KATHOLIK,242,JIWA,2013
186,32,JAWA BARAT,3279,KOTA BANJAR,HINDU,23,JIWA,2013
187,32,JAWA BARAT,3279,KOTA BANJAR,BUDHA,58,JIWA,2013
188,32,JAWA BARAT,3279,KOTA BANJAR,KONGHUCHU,85,JIWA,2013
189,32,JAWA BARAT,3279,KOTA BANJAR,KEPERCAYAAN LAIN,22,JIWA,2013
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,ISLAM,3721363,JIWA,2014
191,32,JAWA BARAT,3201,KABUPATEN BOGOR,KRISTEN,60265,JIWA,2014
192,32,JAWA BARAT,3201,KABUPATEN BOGOR,KATHOLIK,21716,JIWA,2014
193,32,JAWA BARAT,3201,KABUPATEN BOGOR,HINDU,2189,JIWA,2014
194,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUDHA,14725,JIWA,2014
195,32,JAWA BARAT,3201,KABUPATEN BOGOR,KONGHUCHU,6668,JIWA,2014
196,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEPERCAYAAN LAIN,783,JIWA,2014
197,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ISLAM,2430110,JIWA,2014
198,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KRISTEN,5545,JIWA,2014
199,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KATHOLIK,1906,JIWA,2014
200,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HINDU,64,JIWA,2014
201,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUDHA,723,JIWA,2014
202,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONGHUCHU,12,JIWA,2014
203,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEPERCAYAAN LAIN,29,JIWA,2014
204,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ISLAM,2198405,JIWA,2014
205,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KRISTEN,11181,JIWA,2014
206,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KATHOLIK,3312,JIWA,2014
207,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HINDU,219,JIWA,2014
208,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUDHA,2507,JIWA,2014
209,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KONGHUCHU,188,JIWA,2014
210,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEPERCAYAAN LAIN,38,JIWA,2014
211,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ISLAM,3416517,JIWA,2014
212,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KRISTEN,52443,JIWA,2014
213,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KATHOLIK,19044,JIWA,2014
214,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HINDU,835,JIWA,2014
215,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUDHA,3112,JIWA,2014
216,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KONGHUCHU,78,JIWA,2014
217,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEPERCAYAAN LAIN,327,JIWA,2014
218,32,JAWA BARAT,3205,KABUPATEN GARUT,ISLAM,2180100,JIWA,2014
219,32,JAWA BARAT,3205,KABUPATEN GARUT,KRISTEN,3667,JIWA,2014
220,32,JAWA BARAT,3205,KABUPATEN GARUT,KATHOLIK,930,JIWA,2014
221,32,JAWA BARAT,3205,KABUPATEN GARUT,HINDU,61,JIWA,2014
222,32,JAWA BARAT,3205,KABUPATEN GARUT,BUDHA,402,JIWA,2014
223,32,JAWA BARAT,3205,KABUPATEN GARUT,KONGHUCHU,3,JIWA,2014
224,32,JAWA BARAT,3205,KABUPATEN GARUT,KEPERCAYAAN LAIN,229,JIWA,2014
225,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ISLAM,1640598,JIWA,2014
226,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KRISTEN,660,JIWA,2014
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KATHOLIK,342,JIWA,2014
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HINDU,30,JIWA,2014
229,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUDHA,13,JIWA,2014
230,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KONGHUCHU,3,JIWA,2014
231,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEPERCAYAAN LAIN,141,JIWA,2014
232,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ISLAM,1201173,JIWA,2014
233,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KRISTEN,1341,JIWA,2014
234,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KATHOLIK,394,JIWA,2014
235,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HINDU,12,JIWA,2014
236,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUDHA,80,JIWA,2014
237,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KONGHUCHU,126,JIWA,2014
238,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEPERCAYAAN LAIN,74,JIWA,2014
239,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ISLAM,1104576,JIWA,2014
240,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KRISTEN,2002,JIWA,2014
241,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KATHOLIK,5783,JIWA,2014
242,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HINDU,14,JIWA,2014
243,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUDHA,174,JIWA,2014
244,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KONGHUCHU,30,JIWA,2014
245,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEPERCAYAAN LAIN,424,JIWA,2014
246,32,JAWA BARAT,3209,KABUPATEN CIREBON,ISLAM,2044064,JIWA,2014
247,32,JAWA BARAT,3209,KABUPATEN CIREBON,KRISTEN,7588,JIWA,2014
248,32,JAWA BARAT,3209,KABUPATEN CIREBON,KATHOLIK,3019,JIWA,2014
249,32,JAWA BARAT,3209,KABUPATEN CIREBON,HINDU,122,JIWA,2014
250,32,JAWA BARAT,3209,KABUPATEN CIREBON,BUDHA,578,JIWA,2014
251,32,JAWA BARAT,3209,KABUPATEN CIREBON,KONGHUCHU,302,JIWA,2014
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEPERCAYAAN LAIN,107,JIWA,2014
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ISLAM,1235776,JIWA,2014
254,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KRISTEN,3127,JIWA,2014
255,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KATHOLIK,499,JIWA,2014
256,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HINDU,49,JIWA,2014
257,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUDHA,139,JIWA,2014
258,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KONGHUCHU,1,JIWA,2014
259,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KEPERCAYAAN LAIN,34,JIWA,2014
260,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ISLAM,1096257,JIWA,2014
261,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KRISTEN,3871,JIWA,2014
262,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KATHOLIK,586,JIWA,2014
263,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HINDU,49,JIWA,2014
264,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUDHA,296,JIWA,2014
265,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONGHUCHU,276,JIWA,2014
266,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KEPERCAYAAN LAIN,11,JIWA,2014
267,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ISLAM,1816713,JIWA,2014
268,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KRISTEN,5018,JIWA,2014
269,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KATHOLIK,1505,JIWA,2014
270,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HINDU,107,JIWA,2014
271,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUDHA,242,JIWA,2014
272,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONGHUCHU,11,JIWA,2014
273,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KEPERCAYAAN LAIN,161,JIWA,2014
274,32,JAWA BARAT,3213,KABUPATEN SUBANG,ISLAM,1532339,JIWA,2014
275,32,JAWA BARAT,3213,KABUPATEN SUBANG,KRISTEN,4703,JIWA,2014
276,32,JAWA BARAT,3213,KABUPATEN SUBANG,KATHOLIK,1651,JIWA,2014
277,32,JAWA BARAT,3213,KABUPATEN SUBANG,HINDU,36,JIWA,2014
278,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUDHA,313,JIWA,2014
279,32,JAWA BARAT,3213,KABUPATEN SUBANG,KONGHUCHU,0,JIWA,2014
280,32,JAWA BARAT,3213,KABUPATEN SUBANG,KEPERCAYAAN LAIN,78,JIWA,2014
281,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ISLAM,846063,JIWA,2014
282,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KRISTEN,5781,JIWA,2014
283,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KATHOLIK,1706,JIWA,2014
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HINDU,131,JIWA,2014
285,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BUDHA,446,JIWA,2014
286,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KONGHUCHU,9,JIWA,2014
